Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Harrisburg/Scranton,Weekly,"2017-01-22 00:00:00",Conventional,1.400000000,266851.77,49774.50,135845.63,3688.76,77542.88,74174.07,3242.21,126.60
Hartford/Springfield,Weekly,"2017-01-22 00:00:00",Conventional,1.470000000,332672.05,4349.36,247185.31,13325.62,67811.76,65059.13,1897.89,854.74
Houston,Weekly,"2017-01-22 00:00:00",Conventional,0.680000000,1119168.10,798585.87,170357.81,4719.74,145504.68,79246.83,66254.52,3.33
Indianapolis,Weekly,"2017-01-22 00:00:00",Conventional,0.930000000,204570.78,13553.31,92880.57,3909.40,94227.50,47552.12,46669.52,5.86
Jacksonville,Weekly,"2017-01-22 00:00:00",Conventional,0.910000000,246514.81,75808.70,50763.51,376.72,119565.88,28445.81,91120.07,0.00
"Las Vegas",Weekly,"2017-01-22 00:00:00",Conventional,0.790000000,382850.78,133276.27,64435.68,6954.72,178184.11,44375.39,133739.28,69.44
"Los Angeles",Weekly,"2017-01-22 00:00:00",Conventional,0.620000000,4215552.57,1715034.11,663032.28,61799.24,1775686.94,1710186.48,39625.95,25874.51
Louisville,Weekly,"2017-01-22 00:00:00",Conventional,0.940000000,127597.75,2407.87,66870.27,714.26,57605.35,18678.36,38926.99,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-01-22 00:00:00",Conventional,1.050000000,793514.22,308899.67,230819.58,377.73,253417.24,71856.16,181454.14,106.94
Midsouth,Weekly,"2017-01-22 00:00:00",Conventional,1.170000000,3394184.15,737948.84,1519035.24,94412.42,1042787.65,859648.57,181562.03,1577.05
Nashville,Weekly,"2017-01-22 00:00:00",Conventional,0.870000000,251189.52,112820.57,30481.58,81.46,107805.91,82914.32,24413.26,478.33
"New Orleans/Mobile",Weekly,"2017-01-22 00:00:00",Conventional,1.060000000,267331.27,138670.15,34757.27,273.00,93630.85,56028.66,29497.19,8105.00
"New York",Weekly,"2017-01-22 00:00:00",Conventional,1.480000000,1721917.04,15652.26,1169600.51,206537.54,330126.73,288384.55,36337.65,5404.53
Northeast,Weekly,"2017-01-22 00:00:00",Conventional,1.390000000,5007356.22,206778.67,3425747.61,319052.61,1055777.33,978886.09,68710.32,8180.92
"Northern New England",Weekly,"2017-01-22 00:00:00",Conventional,1.170000000,502345.31,16606.58,421568.56,9377.69,54792.48,54789.15,3.33,0.00
Orlando,Weekly,"2017-01-22 00:00:00",Conventional,1.000000000,481274.00,167213.01,125193.82,178.80,188688.37,66571.38,121936.43,180.56
Philadelphia,Weekly,"2017-01-22 00:00:00",Conventional,1.510000000,489345.23,18201.14,287008.11,58242.14,125893.84,114958.90,9387.36,1547.58
Phoenix/Tucson,Weekly,"2017-01-22 00:00:00",Conventional,0.540000000,1601222.68,909748.65,296612.15,15561.81,379300.07,98982.80,280317.27,0.00
Pittsburgh,Weekly,"2017-01-22 00:00:00",Conventional,1.040000000,159303.60,68732.26,45716.42,3110.59,41744.33,30703.03,11041.30,0.00
Plains,Weekly,"2017-01-22 00:00:00",Conventional,1.090000000,1812652.88,790172.66,503597.38,5427.07,513455.77,463066.89,48648.26,1740.62
Portland,Weekly,"2017-01-22 00:00:00",Conventional,0.870000000,711564.14,107651.59,194199.57,16169.54,393543.44,331105.98,62282.17,155.29
Raleigh/Greensboro,Weekly,"2017-01-22 00:00:00",Conventional,1.140000000,326997.65,88147.39,135723.73,18581.37,84545.16,80560.91,3984.25,0.00
Richmond/Norfolk,Weekly,"2017-01-22 00:00:00",Conventional,1.130000000,286641.35,94347.19,107935.30,6890.03,77468.83,75851.48,1617.35,0.00
Roanoke,Weekly,"2017-01-22 00:00:00",Conventional,1.040000000,163498.85,48905.14,46802.42,142.99,67648.30,66764.36,883.94,0.00
Sacramento,Weekly,"2017-01-22 00:00:00",Conventional,0.980000000,532733.04,166864.88,321763.18,2248.57,41856.41,41368.62,487.79,0.00
"San Diego",Weekly,"2017-01-22 00:00:00",Conventional,0.740000000,695873.15,313593.77,174728.80,15139.20,192411.38,179361.27,13050.11,0.00
"San Francisco",Weekly,"2017-01-22 00:00:00",Conventional,0.940000000,1089513.11,297208.60,722757.78,5364.85,64181.88,59393.11,3290.16,1498.61
Seattle,Weekly,"2017-01-22 00:00:00",Conventional,0.850000000,865893.82,102662.26,256663.56,556.69,506011.31,393137.40,112547.31,326.60
"South Carolina",Weekly,"2017-01-22 00:00:00",Conventional,1.000000000,451738.89,159931.18,121922.88,6643.91,163240.92,98463.17,64777.75,0.00
"South Central",Weekly,"2017-01-22 00:00:00",Conventional,0.740000000,6207638.50,4020198.09,957479.68,23685.51,1206275.22,1066264.87,128528.14,11482.21
Southeast,Weekly,"2017-01-22 00:00:00",Conventional,0.970000000,4992701.64,1897606.32,1188251.05,11258.47,1895585.80,834407.94,1059745.36,1432.50
Spokane,Weekly,"2017-01-22 00:00:00",Conventional,0.880000000,113430.50,19006.07,38753.45,153.69,55517.29,49749.97,5680.78,86.54
"St. Louis",Weekly,"2017-01-22 00:00:00",Conventional,1.140000000,155424.95,63018.91,8315.40,105.28,83985.36,54350.10,29635.26,0.00
Syracuse,Weekly,"2017-01-22 00:00:00",Conventional,1.520000000,79859.72,1341.00,52570.04,16.27,25932.41,24856.47,1075.94,0.00
Tampa,Weekly,"2017-01-22 00:00:00",Conventional,1.000000000,547800.42,178179.30,151852.98,116.50,217651.64,80110.89,137540.75,0.00
West,Weekly,"2017-01-22 00:00:00",Conventional,0.820000000,7876147.38,2831351.41,1718065.83,113570.61,3213159.53,1984947.54,1227056.13,1155.86
"West Tex/New Mexico",Weekly,"2017-01-22 00:00:00",Conventional,0.670000000,1100953.14,653900.04,95147.87,14466.07,337439.16,113880.30,223558.86,0.00
"Total U.S.",Weekly,"2017-01-29 00:00:00",Conventional,0.960000000,39373579.25,14034075.77,11683464.54,818727.02,12837311.92,9918255.52,2799960.74,119095.66
Albany,Weekly,"2017-01-29 00:00:00",Conventional,1.310000000,95424.59,3844.62,78315.15,484.56,12780.26,12393.84,382.06,4.36
Atlanta,Weekly,"2017-01-29 00:00:00",Conventional,0.950000000,627695.79,285147.95,86150.35,219.79,256177.70,177033.34,79144.36,0.00
Baltimore/Washington,Weekly,"2017-01-29 00:00:00",Conventional,1.460000000,781538.81,81883.91,489023.96,10828.08,199802.86,193910.98,2724.14,3167.74
Boise,Weekly,"2017-01-29 00:00:00",Conventional,0.930000000,105132.82,35677.85,6532.78,9559.20,53362.99,36294.30,17043.36,25.33
Boston,Weekly,"2017-01-29 00:00:00",Conventional,1.320000000,604106.12,5792.32,464828.97,6111.10,127373.73,126000.39,1373.34,0.00
Buffalo/Rochester,Weekly,"2017-01-29 00:00:00",Conventional,1.370000000,163136.70,1541.69,72000.86,111.33,89482.82,87723.55,1253.71,505.56
California,Weekly,"2017-01-29 00:00:00",Conventional,0.760000000,8055482.07,3009291.31,2295856.21,148335.97,2601998.58,2504421.68,48343.02,49233.88
Charlotte,Weekly,"2017-01-29 00:00:00",Conventional,1.330000000,213609.12,48872.88,86135.67,9146.99,69453.58,58828.73,9630.41,994.44
Chicago,Weekly,"2017-01-29 00:00:00",Conventional,1.100000000,830499.38,86213.34,511365.64,135946.07,96974.33,85615.70,1691.15,9667.48
Cincinnati/Dayton,Weekly,"2017-01-29 00:00:00",Conventional,0.710000000,325944.73,3040.61,118753.45,980.55,203170.12,30234.77,172935.35,0.00
Columbus,Weekly,"2017-01-29 00:00:00",Conventional,1.060000000,163084.68,66807.47,32338.23,1335.12,62603.86,54598.58,8001.06,4.22
"Dallas/Ft. Worth",Weekly,"2017-01-29 00:00:00",Conventional,0.730000000,1306293.11,789341.03,172742.07,36048.34,308161.67,264359.46,43743.14,59.07
Denver,Weekly,"2017-01-29 00:00:00",Conventional,1.050000000,887964.38,172614.57,214811.63,14725.98,485812.20,315628.11,169960.03,224.06
Detroit,Weekly,"2017-01-29 00:00:00",Conventional,1.010000000,381506.20,125847.46,70435.94,6902.42,178320.38,174385.95,3782.91,151.52
"Grand Rapids",Weekly,"2017-01-29 00:00:00",Conventional,1.290000000,168252.20,1391.78,100681.06,5482.22,60697.14,53182.31,6877.73,637.10
"Great Lakes",Weekly,"2017-01-29 00:00:00",Conventional,1.010000000,3799154.10,593815.23,1631554.73,181118.90,1392665.24,891429.94,485161.76,16073.54
Harrisburg/Scranton,Weekly,"2017-01-29 00:00:00",Conventional,1.250000000,267917.78,64322.44,129735.77,1855.78,72003.79,70448.34,1418.77,136.68
Hartford/Springfield,Weekly,"2017-01-29 00:00:00",Conventional,1.460000000,292710.38,4741.29,220159.57,3935.43,63874.09,62167.99,1025.61,680.49
Houston,Weekly,"2017-01-29 00:00:00",Conventional,0.700000000,1258481.11,789020.20,215934.35,58981.08,194545.48,74838.47,119674.39,32.62
Indianapolis,Weekly,"2017-01-29 00:00:00",Conventional,0.870000000,224036.18,12914.29,93252.53,2759.02,115110.34,53542.20,61566.67,1.47
Jacksonville,Weekly,"2017-01-29 00:00:00",Conventional,1.110000000,206654.98,87623.67,29999.87,236.88,88794.56,37567.36,50878.59,348.61
"Las Vegas",Weekly,"2017-01-29 00:00:00",Conventional,0.930000000,309146.07,120542.24,45790.67,7716.20,135096.96,59095.70,76001.26,0.00
"Los Angeles",Weekly,"2017-01-29 00:00:00",Conventional,0.600000000,4230448.98,1439453.61,741369.62,67607.57,1982018.18,1923042.64,29993.97,28981.57
Louisville,Weekly,"2017-01-29 00:00:00",Conventional,0.940000000,116309.90,2082.57,55703.27,217.70,58306.36,17307.09,40985.94,13.33
"Miami/Ft. Lauderdale",Weekly,"2017-01-29 00:00:00",Conventional,1.300000000,609721.18,271896.48,128996.33,519.69,208308.68,99039.03,108598.82,670.83
Midsouth,Weekly,"2017-01-29 00:00:00",Conventional,1.220000000,3151000.47,740797.00,1363481.75,43527.67,1003194.05,845213.44,153112.84,4867.77
Nashville,Weekly,"2017-01-29 00:00:00",Conventional,0.930000000,238392.73,109656.49,20938.22,122.93,107675.09,92858.91,14816.18,0.00
"New Orleans/Mobile",Weekly,"2017-01-29 00:00:00",Conventional,0.970000000,344239.35,208314.95,36546.78,316.00,99061.62,77868.08,15523.54,5670.00
"New York",Weekly,"2017-01-29 00:00:00",Conventional,1.520000000,1270564.47,17844.88,816423.62,94445.56,341850.41,285574.23,51331.29,4944.89
Northeast,Weekly,"2017-01-29 00:00:00",Conventional,1.390000000,4155042.11,201045.06,2754050.67,131086.50,1068859.88,988168.37,73048.91,7642.60
"Northern New England",Weekly,"2017-01-29 00:00:00",Conventional,1.210000000,423387.02,15901.20,348629.28,3634.19,55222.35,55222.35,0.00,0.00
Orlando,Weekly,"2017-01-29 00:00:00",Conventional,1.240000000,364048.79,153528.10,72365.95,196.49,137958.25,70535.42,67422.83,0.00
Philadelphia,Weekly,"2017-01-29 00:00:00",Conventional,1.480000000,421316.65,27673.88,248553.08,20098.48,124991.21,114418.84,10028.59,543.78
Phoenix/Tucson,Weekly,"2017-01-29 00:00:00",Conventional,0.580000000,1380520.76,799387.73,246921.02,16440.78,317771.23,114964.92,202520.20,286.11
Pittsburgh,Weekly,"2017-01-29 00:00:00",Conventional,1.260000000,107225.04,34693.77,30342.44,1353.22,40835.61,35389.28,5446.33,0.00
Plains,Weekly,"2017-01-29 00:00:00",Conventional,1.060000000,2057899.39,896361.80,569685.24,6640.06,585212.29,503163.84,55896.78,26151.67
Portland,Weekly,"2017-01-29 00:00:00",Conventional,0.760000000,909463.13,153610.95,175048.56,17090.49,563713.13,423872.42,138350.97,1489.74
Raleigh/Greensboro,Weekly,"2017-01-29 00:00:00",Conventional,1.260000000,296249.39,89311.71,113615.40,9272.33,84049.95,81864.06,2185.89,0.00
Richmond/Norfolk,Weekly,"2017-01-29 00:00:00",Conventional,1.180000000,259671.38,87900.17,104490.09,3433.47,63847.65,62577.62,929.75,340.28
Roanoke,Weekly,"2017-01-29 00:00:00",Conventional,1.130000000,143828.34,37601.17,50930.88,146.84,55149.45,53902.27,963.85,283.33
Sacramento,Weekly,"2017-01-29 00:00:00",Conventional,1.080000000,513293.45,203929.81,247415.04,7505.24,54443.36,52021.69,35.56,2386.11
"San Diego",Weekly,"2017-01-29 00:00:00",Conventional,0.650000000,776310.02,282233.20,253233.56,14380.96,226462.30,209999.44,13407.30,3055.56
"San Francisco",Weekly,"2017-01-29 00:00:00",Conventional,1.130000000,909650.62,371071.30,438456.28,15021.97,85101.07,73349.82,844.31,10906.94
Seattle,Weekly,"2017-01-29 00:00:00",Conventional,0.860000000,838930.98,114095.90,187068.73,478.51,537287.84,496669.13,40312.44,306.27
"South Carolina",Weekly,"2017-01-29 00:00:00",Conventional,1.110000000,395411.39,174671.54,85091.43,3175.63,132472.79,91776.59,40642.03,54.17
"South Central",Weekly,"2017-01-29 00:00:00",Conventional,0.760000000,6449698.15,4041490.37,922431.65,173874.57,1311901.56,996674.85,306892.76,8333.95
Southeast,Weekly,"2017-01-29 00:00:00",Conventional,1.120000000,4143712.22,1855817.07,719826.98,6139.70,1561928.47,947470.76,611716.88,2740.83
Spokane,Weekly,"2017-01-29 00:00:00",Conventional,0.840000000,112192.95,20867.72,25238.48,27.25,66059.50,56084.13,9927.04,48.33
"St. Louis",Weekly,"2017-01-29 00:00:00",Conventional,1.000000000,192362.18,80253.19,15081.96,159.98,96867.05,63464.66,33402.39,0.00
Syracuse,Weekly,"2017-01-29 00:00:00",Conventional,1.360000000,71809.68,1270.55,44228.54,101.00,26209.59,25395.90,813.69,0.00
Tampa,Weekly,"2017-01-29 00:00:00",Conventional,1.210000000,445251.37,183508.26,90757.43,207.75,170777.93,93866.67,76118.20,793.06
West,Weekly,"2017-01-29 00:00:00",Conventional,0.850000000,7561590.72,2695457.93,1426577.31,128003.65,3311551.83,2241712.64,1065787.79,4051.40
"West Tex/New Mexico",Weekly,"2017-01-29 00:00:00",Conventional,0.740000000,979146.85,607131.32,61234.48,15028.65,295752.40,159375.80,136376.60,0.00
"Total U.S.",Weekly,"2017-02-05 00:00:00",Conventional,0.770000000,61034457.10,22743616.17,20328161.55,1664383.09,16298296.29,12567155.58,3618270.75,112869.96
Albany,Weekly,"2017-02-05 00:00:00",Conventional,1.490000000,183549.08,5666.60,165530.03,2119.02,10233.43,10047.32,186.11,0.00
Atlanta,Weekly,"2017-02-05 00:00:00",Conventional,0.830000000,888094.87,442152.50,167181.75,412.85,278347.77,180392.30,97837.41,118.06
Baltimore/Washington,Weekly,"2017-02-05 00:00:00",Conventional,1.090000000,1170444.52,174325.38,770463.22,29352.66,196303.26,187362.83,6286.24,2654.19
Boise,Weekly,"2017-02-05 00:00:00",Conventional,0.900000000,136090.67,36808.59,11333.87,23346.13,64602.08,61439.09,3116.04,46.95
Boston,Weekly,"2017-02-05 00:00:00",Conventional,1.190000000,772110.18,50889.62,594522.97,7080.99,119616.60,119075.00,541.60,0.00
Buffalo/Rochester,Weekly,"2017-02-05 00:00:00",Conventional,1.400000000,188582.23,1561.11,97167.09,116.10,89737.93,89664.64,73.29,0.00
California,Weekly,"2017-02-05 00:00:00",Conventional,0.670000000,11213596.29,3986429.59,3550403.07,214137.93,3462625.70,3403581.49,7838.83,51205.38
Charlotte,Weekly,"2017-02-05 00:00:00",Conventional,0.950000000,359702.04,95176.35,172311.19,21721.89,70492.61,56412.26,13627.57,452.78
Chicago,Weekly,"2017-02-05 00:00:00",Conventional,0.700000000,1621253.97,378806.26,912672.33,224554.50,105220.88,94444.33,1936.79,8839.76
Cincinnati/Dayton,Weekly,"2017-02-05 00:00:00",Conventional,0.650000000,411450.85,3229.39,181550.84,3016.89,223653.73,35158.21,188488.10,7.42
Columbus,Weekly,"2017-02-05 00:00:00",Conventional,0.690000000,323030.81,140453.99,60090.44,4269.90,118216.48,114404.34,3809.36,2.78
"Dallas/Ft. Worth",Weekly,"2017-02-05 00:00:00",Conventional,0.650000000,1772501.55,882268.72,362714.58,97315.69,430202.56,352919.96,76779.55,503.05
Denver,Weekly,"2017-02-05 00:00:00",Conventional,0.770000000,1258952.81,239163.63,502457.31,14680.91,502650.96,249329.75,253122.60,198.61
Detroit,Weekly,"2017-02-05 00:00:00",Conventional,0.650000000,797699.81,214826.74,228906.58,25712.14,328254.35,321790.97,6374.70,88.68
"Grand Rapids",Weekly,"2017-02-05 00:00:00",Conventional,0.810000000,391313.63,1573.98,298897.77,8303.14,82538.74,78260.30,3910.85,367.59
"Great Lakes",Weekly,"2017-02-05 00:00:00",Conventional,0.730000000,6575186.76,1338529.97,3117639.02,322305.24,1796712.53,1334037.61,449566.65,13108.27
Harrisburg/Scranton,Weekly,"2017-02-05 00:00:00",Conventional,1.140000000,348380.90,117876.11,153442.16,4525.24,72537.39,67100.41,5107.70,329.28
Hartford/Springfield,Weekly,"2017-02-05 00:00:00",Conventional,1.200000000,486542.38,52460.96,356398.62,23027.59,54655.21,49803.73,3869.41,982.07
Houston,Weekly,"2017-02-05 00:00:00",Conventional,0.550000000,1977923.65,1026765.08,406006.03,140962.93,404189.61,316097.57,88069.82,22.22
Indianapolis,Weekly,"2017-02-05 00:00:00",Conventional,0.840000000,276051.64,19443.88,146037.65,5353.25,105216.86,53663.15,51550.76,2.95
Jacksonville,Weekly,"2017-02-05 00:00:00",Conventional,0.740000000,398543.91,191954.42,65200.84,357.77,141030.88,64165.61,76520.83,344.44
"Las Vegas",Weekly,"2017-02-05 00:00:00",Conventional,0.540000000,680234.93,286395.34,121440.60,8149.22,264249.77,56405.96,207843.81,0.00
"Los Angeles",Weekly,"2017-02-05 00:00:00",Conventional,0.530000000,5470227.08,1741607.02,937331.61,89678.63,2701609.82,2656630.42,3465.70,41513.70
Louisville,Weekly,"2017-02-05 00:00:00",Conventional,0.910000000,126829.29,2214.61,74680.70,1046.84,48887.14,19517.27,29368.27,1.60
"Miami/Ft. Lauderdale",Weekly,"2017-02-05 00:00:00",Conventional,0.870000000,1254201.12,689710.71,281503.40,629.67,282357.34,102844.25,178368.65,1144.44
Midsouth,Weekly,"2017-02-05 00:00:00",Conventional,0.950000000,4703681.01,1220323.46,2257429.97,108936.31,1116991.27,950345.69,161722.79,4922.79
Nashville,Weekly,"2017-02-05 00:00:00",Conventional,0.680000000,377719.70,182395.78,43116.96,149.64,152057.32,131344.95,20622.37,90.00
"New Orleans/Mobile",Weekly,"2017-02-05 00:00:00",Conventional,0.610000000,633235.06,400599.94,80089.33,402.00,152143.79,119084.94,26378.85,6680.00
"New York",Weekly,"2017-02-05 00:00:00",Conventional,1.240000000,2544483.08,172265.90,1744342.19,279630.35,348244.64,290463.93,50135.53,7645.18
Northeast,Weekly,"2017-02-05 00:00:00",Conventional,1.230000000,6724196.61,624600.42,4684187.02,375904.92,1039504.25,943595.66,84785.68,11122.91
"Northern New England",Weekly,"2017-02-05 00:00:00",Conventional,1.130000000,701706.00,23160.46,625037.00,4984.23,48524.31,48524.31,0.00,0.00
Orlando,Weekly,"2017-02-05 00:00:00",Conventional,0.850000000,711200.33,362670.27,151154.50,307.79,197067.77,94810.52,101426.69,830.56
Philadelphia,Weekly,"2017-02-05 00:00:00",Conventional,1.280000000,645655.16,77182.34,383060.06,58041.56,127371.20,111889.17,13700.39,1781.64
Phoenix/Tucson,Weekly,"2017-02-05 00:00:00",Conventional,0.460000000,2200550.27,1200632.86,531226.65,18324.93,450365.83,113752.17,330583.10,6030.56
Pittsburgh,Weekly,"2017-02-05 00:00:00",Conventional,1.020000000,157981.65,67986.60,47941.88,2927.44,39125.73,27741.95,11383.78,0.00
Plains,Weekly,"2017-02-05 00:00:00",Conventional,0.760000000,3575499.21,2157030.64,801199.59,8231.35,609037.63,579814.97,21646.18,7576.48
Portland,Weekly,"2017-02-05 00:00:00",Conventional,0.680000000,1189151.17,173944.99,260237.26,17285.27,737683.65,678871.57,57776.33,1035.75
Raleigh/Greensboro,Weekly,"2017-02-05 00:00:00",Conventional,0.970000000,455798.50,123228.06,230068.42,23080.58,79421.44,76260.19,2607.08,554.17
Richmond/Norfolk,Weekly,"2017-02-05 00:00:00",Conventional,1.000000000,379603.83,131147.08,162972.35,7578.20,77906.20,76374.99,1531.21,0.00
Roanoke,Weekly,"2017-02-05 00:00:00",Conventional,0.970000000,212143.72,75074.86,76042.48,151.02,60875.36,59129.65,1337.38,408.33
Sacramento,Weekly,"2017-02-05 00:00:00",Conventional,0.980000000,808808.87,321474.22,418158.93,11962.44,57213.28,56599.10,43.35,570.83
"San Diego",Weekly,"2017-02-05 00:00:00",Conventional,0.630000000,892740.87,260418.91,290223.93,20313.95,321784.08,318872.23,2886.85,25.00
"San Francisco",Weekly,"2017-02-05 00:00:00",Conventional,0.840000000,1557975.05,560686.25,900172.65,21331.13,75785.02,71464.46,976.12,3344.44
Seattle,Weekly,"2017-02-05 00:00:00",Conventional,0.760000000,1093144.23,160260.61,306958.60,957.35,624967.67,471283.84,152490.79,1193.04
"South Carolina",Weekly,"2017-02-05 00:00:00",Conventional,0.810000000,706098.15,365828.76,182799.50,6024.17,151445.72,92596.35,58746.59,102.78
"South Central",Weekly,"2017-02-05 00:00:00",Conventional,0.620000000,9421609.22,5160896.68,1821670.82,430538.46,2008503.26,1652465.83,346207.63,9829.80
Southeast,Weekly,"2017-02-05 00:00:00",Conventional,0.810000000,7545938.97,3878267.73,1537592.22,10563.99,2119515.03,1194582.55,919049.98,5882.50
Spokane,Weekly,"2017-02-05 00:00:00",Conventional,0.760000000,165785.94,30442.86,47312.59,527.32,87503.17,63590.88,23843.58,68.71
"St. Louis",Weekly,"2017-02-05 00:00:00",Conventional,0.880000000,237276.96,131630.24,15888.64,160.63,89597.45,79805.09,9792.36,0.00
Syracuse,Weekly,"2017-02-05 00:00:00",Conventional,1.490000000,104027.11,1216.04,78340.67,44.00,24426.40,24392.20,34.20,0.00
Tampa,Weekly,"2017-02-05 00:00:00",Conventional,0.790000000,893143.94,432114.92,200199.09,273.63,260556.30,150022.99,110241.64,291.67
West,Weekly,"2017-02-05 00:00:00",Conventional,0.660000000,11274749.11,4377537.67,2558039.85,193764.89,4145406.70,2508731.79,1627453.06,9221.85
